File Path,Timestamp,Info
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.54s           2023-11-25T17:47:46,2023-11-25T17:48:20.728+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.46s           2023-11-25T17:48:17,2023-11-25T17:48:40.835+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.72s           2023-11-25T17:48:48,2023-11-25T17:49:21.127+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.51s           2023-11-25T17:49:19,2023-11-25T17:49:41.235+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.60s           2023-11-25T17:49:50,2023-11-25T17:50:21.469+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.73s           2023-11-25T17:50:22,2023-11-25T17:50:41.605+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.59s           2023-11-25T17:50:53,2023-11-25T17:51:21.858+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.48s           2023-11-25T17:51:24,2023-11-25T17:51:42.010+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.50s           2023-11-25T17:51:55,2023-11-25T17:52:22.276+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.72s           2023-11-25T17:52:27,2023-11-25T17:52:42.424+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.55s           2023-11-25T17:52:58,2023-11-25T17:53:22.667+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.46s           2023-11-25T17:53:29,2023-11-25T17:53:42.820+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.76s           2023-11-25T17:54:00,2023-11-25T17:54:23.072+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.50s           2023-11-25T17:54:31,2023-11-25T17:54:43.228+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.67s           2023-11-25T17:55:03,2023-11-25T17:55:23.489+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py    900  0.02s             0           1  0.67s           2023-11-25T17:55:03,2023-11-25T17:55:43.710+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.77s           2023-11-25T17:55:34,2023-11-25T17:56:23.974+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.47s           2023-11-25T17:56:05,2023-11-25T17:56:44.130+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.49s           2023-11-25T17:56:36,2023-11-25T17:57:24.383+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.55s           2023-11-25T17:57:07,2023-11-25T17:57:44.532+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.58s           2023-11-25T17:57:39,2023-11-25T17:58:24.780+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.51s           2023-11-25T17:58:10,2023-11-25T17:58:44.944+0000,Searching for files in /opt/airflow/dags
/opt/airflow/dags/__pycache__/get_dags_inventary.py                           0           1  0.49s           2023-11-25T17:58:41,2023-11-25T17:59:25.197+0000,Searching for files in /opt/airflow/dags
