File Path,PID,Runtime,# DAGs,# Errors,Last Runtime,Last Run
/opt/airflow/dags/get_logs_inventary.py,3511,0.01s,0,1,0.06s,2023-11-25T18:38:51
/opt/airflow/dags/get_logs_inventary.py,3541,0.01s,0,1,0.12s,2023-11-25T18:39:21
/opt/airflow/dags/get_logs_inventary.py,3568,0.00s,0,1,0.08s,2023-11-25T18:39:51
/opt/airflow/dags/get_logs_inventary.py,3596,0.00s,0,1,0.05s,2023-11-25T18:40:22
/opt/airflow/dags/get_logs_inventary.py,3623,0.00s,0,1,0.05s,2023-11-25T18:40:52
/opt/airflow/dags/get_logs_inventary.py,3650,0.01s,0,1,0.05s,2023-11-25T18:41:22
/opt/airflow/dags/get_logs_inventary.py,3689,0.01s,0,1,0.09s,2023-11-25T18:41:52
/opt/airflow/dags/__pycache__/get_dags_inventary.py,3688,0.01s,0,1,0.70s,2023-11-25T18:41:52
/opt/airflow/dags/get_logs_inventary.py,3715,0.00s,0,1,0.08s,2023-11-25T18:42:22
/opt/airflow/dags/get_logs_inventary.py,3742,0.01s,0,1,0.05s,2023-11-25T18:42:52
/opt/airflow/dags/get_logs_inventary.py,3777,0.01s,0,1,0.05s,2023-11-25T18:43:23
/opt/airflow/dags/get_logs_inventary.py,3809,0.00s,0,1,0.05s,2023-11-25T18:43:53
/opt/airflow/dags/get_logs_inventary.py,3837,0.00s,0,1,0.05s,2023-11-25T18:44:23
/opt/airflow/dags/get_logs_inventary.py,3864,0.01s,0,1,0.05s,2023-11-25T18:44:53
/opt/airflow/dags/get_logs_inventary.py,3891,0.01s,0,1,0.06s,2023-11-25T18:45:24
/opt/airflow/dags/get_logs_inventary.py,3931,0.01s,0,1,0.07s,2023-11-25T18:45:54
/opt/airflow/dags/get_logs_inventary.py,3959,0.00s,0,1,0.06s,2023-11-25T18:46:24
/opt/airflow/dags/get_logs_inventary.py,3986,0.01s,0,1,0.06s,2023-11-25T18:46:54
/opt/airflow/dags/get_logs_inventary.py,4013,0.01s,0,1,0.06s,2023-11-25T18:47:24
/opt/airflow/dags/get_logs_inventary.py,4052,0.01s,0,1,0.05s,2023-11-25T18:47:55
/opt/airflow/dags/get_logs_inventary.py,4079,0.01s,0,1,0.05s,2023-11-25T18:48:25
/opt/airflow/dags/get_logs_inventary.py,4106,0.00s,0,1,0.06s,2023-11-25T18:48:55
/opt/airflow/dags/get_logs_inventary.py,4133,0.01s,0,1,0.06s,2023-11-25T18:49:25
/opt/airflow/dags/get_logs_inventary.py,4167,0.01s,0,1,0.08s,2023-11-25T18:49:55
/opt/airflow/dags/get_logs_inventary.py,4199,0.01s,0,1,0.13s,2023-11-25T18:50:26
/opt/airflow/dags/get_logs_inventary.py,4226,0.01s,0,1,0.07s,2023-11-25T18:50:56
/opt/airflow/dags/get_logs_inventary.py,4253,0.01s,0,1,0.06s,2023-11-25T18:51:26
/opt/airflow/dags/get_logs_inventary.py,4280,0.00s,0,1,0.09s,2023-11-25T18:51:56
/opt/airflow/dags/get_logs_inventary.py,4319,0.01s,0,1,0.07s,2023-11-25T18:52:26
/opt/airflow/dags/get_logs_inventary.py,4346,0.01s,0,1,0.06s,2023-11-25T18:52:57
/opt/airflow/dags/get_logs_inventary.py,4373,0.01s,0,1,0.07s,2023-11-25T18:53:27
/opt/airflow/dags/get_logs_inventary.py,4409,0.01s,0,1,0.09s,2023-11-25T18:53:57
/opt/airflow/dags/get_logs_inventary.py,4439,0.01s,0,1,0.07s,2023-11-25T18:54:27
/opt/airflow/dags/get_logs_inventary.py,4466,0.01s,0,1,0.07s,2023-11-25T18:54:57
/opt/airflow/dags/__pycache__/get_dags_inventary.py,4639,0.00s,0,1,0.48s,2023-11-25T18:57:58
/opt/airflow/dags/__pycache__/get_dags_inventary.py,5582,0.01s,0,1,0.47s,2023-11-25T19:13:34
/opt/airflow/dags/__pycache__/get_dags_inventary.py,6467,0.00s,0,1,0.47s,2023-11-25T19:28:40
/opt/airflow/dags/__pycache__/get_dags_inventary.py,7376,0.01s,0,1,0.55s,2023-11-25T19:44:17
/opt/airflow/dags/__pycache__/get_dags_inventary.py,8133,5.15s,0,1,0.74s,2023-11-25T19:57:17
/opt/airflow/dags/get_logs_inventary.py,69,0.33s,0,0,0.16s,2023-11-27T13:30:58
/opt/airflow/dags/__pycache__/get_dags_inventary.py,70,0.33s,0,1,2.92s,2023-11-27T13:31:00
/opt/airflow/dags/__pycache__/get_dags_inventary.py,98,6.07s,0,1,23.77s,2023-11-27T13:31:55
/opt/airflow/dags/get_logs_inventary.py,1822,1.02s,0,1,0.55s,2023-11-27T13:59:57
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1823,1.01s,0,1,0.63s,2023-11-27T13:59:57
/opt/airflow/dags/get_logs_inventary.py,1849,0.02s,0,1,1.08s,2023-11-27T14:00:29
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1850,0.01s,0,1,1.12s,2023-11-27T14:00:29
/opt/airflow/dags/get_logs_inventary.py,1887,0.02s,0,1,0.71s,2023-11-27T14:00:59
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1888,0.01s,0,1,0.70s,2023-11-27T14:00:59
/opt/airflow/dags/get_logs_inventary.py,1918,0.02s,0,1,0.83s,2023-11-27T14:01:30
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1919,0.01s,0,1,0.79s,2023-11-27T14:01:30
/opt/airflow/dags/get_logs_inventary.py,1945,0.01s,0,1,0.62s,2023-11-27T14:02:01
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1946,0.01s,0,1,0.63s,2023-11-27T14:02:01
/opt/airflow/dags/get_logs_inventary.py,1972,0.01s,0,1,0.66s,2023-11-27T14:02:32
/opt/airflow/dags/__pycache__/get_dags_inventary.py,1973,0.01s,0,1,0.69s,2023-11-27T14:02:32
/opt/airflow/dags/get_logs_inventary.py,82,1.02s,0,1,30.00s,2023-11-27T16:20:09
/opt/airflow/dags/__pycache__/get_dags_inventary.py,83,1.01s,0,1,30.00s,2023-11-27T16:20:09
/opt/airflow/dags/get_logs_inventary.py,110,0.02s,0,1,1.26s,2023-11-27T16:20:40
/opt/airflow/dags/__pycache__/get_dags_inventary.py,111,0.01s,0,1,1.24s,2023-11-27T16:20:40
